isco_08	isced_f_2013	core	common	specialist	roles	topics
1120	0413	7	4	1	2	performance measurement; supervision and delegation; human resource management; performance appraisal
1120	0411	5	1	0	2	budgeting and variance; financial statements; management accounting
1120	0313	2	5	0	2	motivation and team climate; personnel selection psychology; feedback and motivation; conflict psychology
1120	0412	2	1	0	2	cash flow management; investment appraisal
1120	0542	2	1	0	2	descriptive statistics; statistical analysis
1120	0223	2	0	0	2	fairness and workplace ethics
1120	0421	1	2	0	2	contract law; labour law
1120	0311	1	1	0	1	supply and demand; price elasticity of demand
1120	0414	0	1	1	1	pricing strategy; branding
1120	0212	0	0	1	1	visual identity design
1120	0417	0	0	1	1	workplace organisation
1120	0611	0	1	0	1	spreadsheet software
1120	0721	0	1	0	1	food safety management system audits
1120	1021	0	1	0	1	sanitary inspection
1221	0414	3	5	0	2	branding; market research; social media marketing; menu engineering
1221	0413	3	2	0	2	franchising; organisational structure and control; strategic planning; performance measurement
1221	0542	1	3	0	2	descriptive statistics; statistics; sales mix analysis; survey statistics
1221	0412	2	0	0	2	investment appraisal; cash flow management
1221	0421	2	0	0	1	contract law
1221	0212	1	1	0	2	visual identity design
1221	0411	1	1	0	1	budgeting and variance; contribution margin
1221	0311	1	0	0	1	supply and demand
1221	0313	0	2	0	1	motivation and team climate; consumer behaviour
1221	0031	0	1	0	1	communication skills
1221	0111	0	1	0	1	curriculum and instructional design
1221	0223	0	1	0	1	fairness and workplace ethics
1221	0416	0	1	0	1	e-commerce
1221	0611	0	1	0	1	CRM software
1221	0721	0	1	0	1	food safety management system audits
1221	1021	0	1	0	1	sanitary inspection
1321	0413	7	5	0	2	supervision and delegation; operational budgeting; workforce planning; operations planning
1321	0313	3	2	0	2	motivation and team climate; service psychology and empathy; de-escalation and emotional regulation; constructive feedback
1321	0411	2	4	0	2	cost accounting and variance analysis; recipe costing and yield; stocktaking and cost of goods; invoice verification
1321	0721	2	3	0	2	incoming food quality inspection; hazard analysis and critical control points; batch production; good manufacturing practice
1321	0542	3	0	0	2	demand forecasting; descriptive statistics
1321	0416	1	3	0	1	customer relations in retail; inventory management; goods-in checks against orders; online retail channels
1321	0223	2	0	0	2	fairness and workplace ethics
1321	0421	1	2	0	2	labour law on hours and rest; food law and standards; labour law
1321	0311	1	1	0	2	input prices and inflation
1321	1013	1	1	0	1	hospitality service standards; service recovery
1321	0412	1	0	0	1	cash flow management
1321	0414	0	2	0	1	menu engineering and pricing; ratings and online reputation
1321	0417	0	2	0	2	on-the-job training; workplace organisation
1321	0611	0	2	0	1	inventory software; using vendor platforms and tablets
1321	1021	1	0	0	1	sanitary design
1321	1022	0	2	0	2	risk assessment method; occupational risk assessment
1321	0111	0	1	0	1	adult learning and instruction
1321	0511	0	1	0	1	microbial hazards
1321	0541	0	1	0	1	ratios and percentages
1321	0715	0	1	0	1	maintenance engineering
1321	0915	0	1	0	1	dietary salt and health
1321	0923	0	1	0	1	active listening
1324	1041	7	1	0	3	logistics; defensive riding; dispatch operations; licensing categories
1324	0413	5	4	0	3	supervision and delegation; supply chain management; workforce planning; capacity planning
1324	0542	3	2	0	2	demand forecasting; demand forecasting from past data; demand variability; descriptive statistics
1324	0313	2	2	0	2	motivation and team climate; constructive feedback; negotiation psychology
1324	0416	2	2	0	2	stock control; supplier management; reorder point; buying and negotiation
1324	0421	2	1	0	2	labour law on hours and rest; traffic and insurance law; contract law
1324	0721	2	1	0	2	chilled and frozen food storage; supplier approval for food safety; food traceability
1324	0533	2	0	0	2	braking distance and friction; refrigeration and heat load
1324	0541	2	0	0	2	assignment and scheduling problems; route optimisation
1324	0611	1	2	0	2	live tracking dashboards; inventory software; computer use
1324	0223	1	1	0	2	fairness and workplace ethics
1324	0411	1	1	0	2	cost accounting and variance analysis; budgeting and variance
1324	0417	1	1	0	2	on-the-job training; prioritising tasks under pressure
1324	0031	0	2	0	1	problem solving; self-organisation and punctuality
1324	0111	1	0	0	1	adult learning and instruction
1324	0412	1	0	0	1	cash flow management
1324	1022	1	0	0	1	road injury prevention
1324	0311	0	1	0	1	input prices and inflation
1324	0521	0	0	1	1	environmental sustainability
1324	1032	0	1	0	1	personal safety and crime prevention
1411	0413	2	3	1	1	performance measurement; supervision and delegation; record keeping and verification; performance appraisal
1411	0411	3	1	0	1	budgeting and variance; financial statements; management accounting; contribution margin
1411	0313	1	1	0	1	motivation and team climate; feedback and motivation
1411	0414	1	1	0	1	pricing strategy; menu engineering
1411	0542	1	1	0	1	descriptive statistics; sales mix analysis
1411	0721	0	2	1	1	supplier approval for food safety; hazard analysis and critical control points; food safety management systems
1411	0223	1	0	0	1	fairness and workplace ethics
1411	0311	1	0	0	1	price elasticity of demand
1411	0412	1	0	0	1	cash flow management
1411	0231	0	1	0	1	English for specific purposes
1411	0314	0	1	0	1	intercultural communication
1411	0416	0	1	0	1	supplier management
1411	0511	0	1	0	1	microbial hazards
1411	1015	0	1	0	1	serving international tourists
1411	1022	0	1	0	1	risk assessment method
1412	0413	69	35	3	26	supervision and delegation; operational budgeting; workforce planning; record keeping and verification
1412	0411	34	35	2	25	cost accounting and variance analysis; stocktaking and cost of goods; recipe costing and yield; budgeting and variance
1412	0313	36	25	1	24	motivation and team climate; de-escalation and emotional regulation; service psychology and empathy; constructive feedback
1412	1013	23	16	1	17	service recovery; safe food handling in catering; hospitality service standards; restaurant service flow
1412	0542	18	20	6	21	demand forecasting; descriptive statistics; sales mix analysis; scoring and statistics
1412	0421	21	18	0	23	labour law on hours and rest; administrative law; contract law; labour law
1412	0721	16	25	3	21	food preservation principles; hazard analysis and critical control points; incoming food quality inspection; sensory analysis of food
1412	0416	13	19	0	21	inventory management; customer relations in retail; goods-in checks against orders; purchasing procedures
1412	0223	20	2	0	21	fairness and workplace ethics; courtesy and respect
1412	0414	13	9	4	17	menu engineering and pricing; menu engineering; branding; social media marketing
1412	0311	16	6	0	20	input prices and inflation; supply and demand; price elasticity of demand
1412	1022	9	11	1	15	risk assessment method; ergonomics and safe movement; emergency evacuation; egress and fire routes
1412	0511	8	13	0	18	foodborne microorganisms; microbial hazards; the temperature danger zone; microbial contamination of produce
1412	0541	10	8	1	13	ratios and percentages; unit conversion and proportions; mental arithmetic for change; units and measurement
1412	0412	7	3	0	7	cash flow management; investment appraisal; insurance
1412	0611	4	9	0	13	inventory software; using booking software; spreadsheet software; using vendor platforms and tablets
1412	0531	5	5	0	6	combustion and the fire triangle; solubility and dissolution kinetics; flavour chemistry; hardness, alkalinity and mineral ions
1412	1021	3	9	0	9	environmental health regulation; separation of clean and dirty flows; environmental health inspection; sanitary inspection
1412	0212	3	6	2	9	visual identity design; industrial and interior layout design; graphic layout for readability; interior space planning
1412	0923	5	4	0	9	active listening
1412	0417	4	4	1	9	on-the-job training; prioritising tasks under pressure; workplace organisation
1412	0533	4	3	1	6	particle size and flow resistance; heat transfer and cooling rate; fluid flow through a porous bed; water temperature and heat loss
1412	0111	3	5	0	8	adult learning and instruction; curriculum and instructional design
1412	1032	3	4	0	6	cash security; fire prevention and firefighting; personal safety at work; crowd safety
1412	0314	1	5	0	5	intercultural communication; Iranian social and cultural traditions; cultural diversity and inclusion; Iranian cultural norms and taarof
1412	0415	3	0	0	3	written logs and notes
1412	0715	1	2	1	3	burr mechanics and wear; scale formation in boilers; maintenance engineering
1412	1015	1	3	0	4	serving international tourists; event management
1412	0031	1	2	0	2	self-organisation and punctuality; problem solving; communication skills
1412	0812	2	0	0	2	fruit ripening and postharvest physiology; viticulture
1412	1041	1	1	1	2	motor vehicle driving; temperature-controlled transport; logistics
1412	0231	0	3	0	3	English for specific purposes
1412	0521	0	3	0	3	environmental impact of food waste; food waste environmental impact
1412	0713	1	1	0	2	electrical capacity planning; boiler heating and controls
1412	0915	1	1	0	2	nutritional balance of menus; clinical and community nutrition
1412	0221	0	2	0	2	Islamic dietary rules; religious dietary practices
1412	0512	0	2	0	2	polyphenols, catechins and caffeine; human metabolism
1412	0712	0	2	0	2	water treatment technology; waste management and recycling
1412	0711	0	1	0	1	water treatment processes
1412	0714	0	0	1	1	programmable controllers
1412	0722	0	1	0	1	packaging materials
1412	0811	0	1	0	1	tea plant cultivation
1412	0912	0	1	0	1	burns and airway obstruction
1412	0913	0	1	0	1	first aid and basic life support
1412	0921	0	1	0	1	support for disabled adults
1420	0413	4	1	0	1	supervision and delegation; operational budgeting; workforce planning; operations planning
1420	0313	2	2	0	1	motivation and team climate; service psychology and empathy; de-escalation and emotional regulation; constructive feedback
1420	0411	1	3	0	1	cost accounting and variance analysis; recipe costing and yield; stocktaking and cost of goods; invoice verification
1420	0416	1	3	0	1	customer relations in retail; inventory management; goods-in checks against orders; online retail channels
1420	0542	2	0	0	1	demand forecasting
1420	0421	1	1	0	1	labour law on hours and rest; food law and standards
1420	1013	1	1	0	1	hospitality service standards; service recovery
1420	0223	1	0	0	1	fairness and workplace ethics
1420	0311	1	0	0	1	input prices and inflation
1420	0414	0	2	0	1	menu engineering and pricing; ratings and online reputation
1420	0611	0	2	0	1	inventory software; using vendor platforms and tablets
1420	0721	0	2	0	1	incoming food quality inspection; hazard analysis and critical control points
1420	0111	0	1	0	1	adult learning and instruction
1420	0417	0	1	0	1	on-the-job training
1420	0511	0	1	0	1	microbial hazards
1420	0541	0	1	0	1	ratios and percentages
1420	0915	0	1	0	1	dietary salt and health
1420	0923	0	1	0	1	active listening
1420	1022	0	1	0	1	risk assessment method
2132	0721	1	2	0	1	supplier approval for food safety; chilled and frozen food storage; quality grading
2132	0811	2	0	0	1	agricultural extension; crop calendars
2132	0416	1	1	0	1	supplier management; buying and negotiation
2132	0812	1	1	0	1	postharvest physiology; postharvest quality
2132	0314	1	0	0	1	rural sociology
2132	0511	1	0	0	1	plant respiration
2132	0313	0	1	0	1	negotiation psychology
2132	0421	0	1	0	1	contract law
2132	0521	0	1	0	1	environmental sustainability
2132	0533	0	1	0	1	refrigeration and heat load
2132	1041	0	1	0	1	temperature-controlled transport
2145	0721	16	12	0	4	date marking and shelf life; food standards; good manufacturing practice; hazard analysis and critical control points
2145	0421	4	4	0	4	food labelling regulations; food law; food law and standards; consumer protection law
2145	0511	3	5	0	3	food microbiology; microbial culture; microbial growth; mould and microbial spoilage
2145	0531	2	7	0	3	analytical chemistry methods; lipid oxidation; protein and starch chemistry; starch retrogradation and water activity
2145	0915	3	3	0	3	nutrition information panels; dietetics: coeliac disease and diabetes; dietary salt and health; dietetics
2145	0542	3	0	1	3	comparative testing; scoring and statistics; acceptance sampling; control charts
2145	0541	2	2	0	2	ratios and proportions; ratios and percentages; weighted balance calculations; proportional calculation
2145	0512	2	0	0	1	macronutrient biochemistry; allergenic food proteins
2145	1013	2	0	0	2	culinary arts; communicating allergens to guests
2145	1021	2	0	0	2	sanitary design
2145	0413	0	2	1	2	crisis management; management system standards; quality management
2145	0232	0	2	0	2	Persian language and style
2145	0415	0	2	0	2	business correspondence
2145	0533	1	0	0	1	heat transfer
2145	0912	1	0	0	1	food allergy and anaphylaxis
2145	0221	0	1	0	1	religious dietary law
2145	0411	0	1	0	1	recipe costing and yield
2145	0414	0	1	0	1	menu engineering and pricing
2145	0714	0	1	0	1	process instrumentation
2145	0722	0	1	0	1	packaging materials
2163	0212	2	0	0	1	interior design; visual identity design
2163	0414	1	0	0	1	branding
2163	0731	1	0	0	1	space planning
2163	0031	0	1	0	1	communication skills
2163	0411	0	1	0	1	budgeting and variance
2163	0412	0	1	0	1	cash flow management
2163	0531	0	1	0	1	combustion and the fire triangle
2163	0533	0	1	0	1	airflow and heat transfer
2163	0732	0	1	0	1	building HVAC services
2163	1022	0	1	0	1	emergency evacuation
2163	1032	0	1	0	1	fire prevention and firefighting
2166	0414	6	5	0	3	advertising copy; branding; social media marketing; market research
2166	0212	4	4	0	3	graphic design; visual identity design; graphic and layout design
2166	0232	4	1	1	3	Persian language and style; typography and readability; plain language
2166	0611	1	3	0	3	design software; spreadsheet software
2166	0211	2	0	0	1	video production and editing; photography and lighting
2166	0411	2	0	0	1	contribution margin; recipe costing and yield
2166	0542	1	2	0	2	statistics; sales mix analysis; statistical analysis
2166	0721	0	3	0	2	cross-contact control in production; food contact packaging; date marking and shelf life
2166	0533	1	0	0	1	optics
2166	0541	1	0	0	1	ratios and percentages
2166	1013	0	1	1	2	plating; communicating allergens to guests
2166	0111	0	0	1	1	differentiated instruction
2166	0213	0	0	1	1	composition and colour
2166	0421	0	1	0	1	food labelling regulations
2166	0512	0	1	0	1	allergenic food proteins
2166	0722	0	1	0	1	packaging materials
2166	0912	0	1	0	1	food allergy and anaphylaxis
2166	0915	0	1	0	1	nutrition information panels
2263	1022	6	5	1	2	risk assessment method; occupational risk assessment; root cause analysis; emergency evacuation
2263	0721	5	1	1	1	hazard analysis and critical control points; food safety management system audits; thermal processing and core temperature; cross-contact control in production
2263	0511	4	2	0	1	microbial hazards; food microbiology; the temperature danger zone; biofilms and microbial reduction
2263	1021	2	3	0	1	sanitary inspection; cleaning and disinfection programmes; environmental health regulation; hygiene monitoring
2263	0531	2	2	0	2	detergents, sanitisers and dilution; combustion and the fire triangle; combustion chemistry; hazardous chemical reactions
2263	0413	1	2	1	1	record keeping and verification; crisis management; process documentation; management system standards
2263	0533	1	2	0	2	heat transfer and cooling rate; levers and load moments; friction and heat transfer
2263	0912	2	0	0	2	food allergy and anaphylaxis; burns and airway obstruction
2263	0111	0	2	0	2	curriculum and instructional design
2263	0512	1	0	0	1	allergenic food proteins
2263	0713	0	1	1	1	electrical hazards and protection; isolation of electrical supply
2263	0913	1	0	0	1	first aid and basic life support
2263	1013	1	0	0	1	communicating allergens to guests
2263	1032	1	0	0	1	fire prevention and firefighting
2263	0232	0	1	0	1	plain language writing
2263	0421	0	1	0	1	administrative law
2263	0915	0	1	0	1	musculoskeletal injury prevention
2265	0915	5	2	1	2	dietetics; therapeutic diets; nutrition information panels; clinical and community nutrition
2265	0512	5	2	0	2	macronutrient biochemistry; food proteins and intolerance; allergenic food proteins; human metabolism
2265	0541	3	2	0	2	proportional calculation; ratios and percentages; scaling and ratios; weights and measures
2265	0721	2	3	1	2	cross-contact control in production; date marking and shelf life; food preservation principles; food standards
2265	1013	2	2	0	2	communicating allergens to guests; safe food handling in catering; standard recipes
2265	0421	1	1	1	2	food labelling regulations; food law
2265	0912	1	1	0	2	food allergy and anaphylaxis
2265	0411	0	2	0	2	recipe costing and yield; food cost and yield
2265	0611	1	0	0	1	computer use
2265	0111	0	1	0	1	adult learning
2265	0114	0	1	0	1	vocational teacher training
2265	0232	0	1	0	1	Persian language and style
2265	0414	0	1	0	1	menu engineering and pricing
2265	0415	0	1	0	1	business correspondence
2265	0511	0	1	0	1	foodborne microorganisms
2320	0111	6	8	1	3	educational assessment; competency-based education; differentiated instruction; adult learning
2320	0533	8	1	0	2	fluid pressure and flow; fluid flow through a porous bed; steam and heat transfer; fluid dynamics and density
2320	1013	5	2	0	3	safe food handling in catering; espresso bar service; brew bar service; culinary arts techniques
2320	0531	4	2	0	1	solubility and extraction yield; solubility and dissolution kinetics; lactose and heat-sensitive sweetness; extraction and total dissolved solids
2320	0512	3	2	0	2	milk proteins and foam stability; crema and milk foam interface; fermentation during post-harvest processing; Maillard reaction and protein denaturation
2320	0542	2	3	1	3	reliability of measurement; scoring and statistics; scoring and inter-rater calibration; controlled variables and measurement
2320	0721	2	2	1	3	food preservation principles; sensory analysis of food; quality grading of food products; thermal processing of foods
2320	0114	3	0	0	2	vocational teacher training
2320	0417	2	1	1	3	work skills frameworks; on-the-job training
2320	0715	2	1	0	2	scale formation in boilers; sharpening and honing; burr mechanics and wear
2320	0232	0	4	0	3	plain language; Persian language and style
2320	0811	1	2	0	2	coffee origin and processing; coffee cultivation and varieties; rice varieties and grain quality
2320	0313	1	0	1	1	constructive feedback; controlled sensory methodology
2320	0511	1	1	0	2	foodborne microorganisms
2320	0213	1	0	0	1	design and visual symmetry
2320	0541	1	0	0	1	ratios and percentages
2320	0713	1	0	0	1	boiler heating and controls
2320	0415	0	1	0	1	business correspondence
2320	0532	0	1	0	1	climate and altitude
2320	0711	0	1	0	1	water treatment processes
2320	1021	0	1	0	1	equipment sanitation
2359	0111	2	1	0	1	educational assessment; competency-based education; differentiated instruction
2359	0232	0	2	0	1	Persian language and style; plain language
2359	0417	1	0	0	1	work skills frameworks
2359	0542	1	0	0	1	reliability of measurement
2359	0415	0	1	0	1	business correspondence
2359	0511	0	1	0	1	foodborne microorganisms
2359	0721	0	1	0	1	food preservation principles
2359	1013	0	1	0	1	safe food handling in catering
2411	0411	5	0	1	1	cost accounting and variance analysis; recipe costing and yield; stocktaking and cost of goods; financial statements
