code	level	parent	name_en
00	broad		Generic programmes and qualifications
000	narrow	00	Generic programmes and qualifications not further defined
0000	detailed	000	Generic programmes and qualifications not further defined
001	narrow	00	Basic programmes and qualifications
0011	detailed	001	Basic programmes and qualifications
002	narrow	00	Literacy and numeracy
0021	detailed	002	Literacy and numeracy
003	narrow	00	Personal skills and development
0031	detailed	003	Personal skills and development
009	narrow	00	Generic programmes and qualifications not elsewhere classified
0099	detailed	009	Generic programmes and qualifications not elsewhere classified
01	broad		Education
011	narrow	01	Education
0110	detailed	011	Education not further defined
0111	detailed	011	Education science
0112	detailed	011	Training for pre-school teachers
0113	detailed	011	Teacher training without subject specialisation
0114	detailed	011	Teacher training with subject specialisation
0119	detailed	011	Education not elsewhere classified
018	narrow	01	Inter-disciplinary programmes and qualifications involving education
0188	detailed	018	Inter-disciplinary programmes and qualifications involving education
02	broad		Arts and humanities
020	narrow	02	Arts and humanities not further defined
0200	detailed	020	Arts and humanities not further defined
021	narrow	02	Arts
0210	detailed	021	Arts not further defined
0211	detailed	021	Audio-visual techniques and media production
0212	detailed	021	Fashion, interior and industrial design
0213	detailed	021	Fine arts
0214	detailed	021	Handicrafts
0215	detailed	021	Music and performing arts
0219	detailed	021	Arts not elsewhere classified
022	narrow	02	Humanities (except languages)
0220	detailed	022	Humanities (except languages) not further defined
0221	detailed	022	Religion and theology
0222	detailed	022	History and archaeology
0223	detailed	022	Philosophy and ethics
0229	detailed	022	Humanities (except languages) not elsewhere classified
023	narrow	02	Languages
0230	detailed	023	Languages not further defined
0231	detailed	023	Language acquisition
0232	detailed	023	Literature and linguistics
0239	detailed	023	Languages not elsewhere classified
028	narrow	02	Inter-disciplinary programmes and qualifications involving arts and humanities
0288	detailed	028	Inter-disciplinary programmes and qualifications involving arts and humanities
029	narrow	02	Arts and humanities not elsewhere classified
0299	detailed	029	Arts and humanities not elsewhere classified
03	broad		Social sciences, journalism and information
030	narrow	03	Social sciences, journalism and information not further defined
0300	detailed	030	Social sciences, journalism and information not further defined
031	narrow	03	Social and behavioural sciences
