code	level	parent	name_en
0	major		Armed Forces Occupations
01	sub-major	0	Commissioned Armed Forces Officers
011	minor	01	Commissioned Armed Forces Officers
0110	unit	011	Commissioned Armed Forces Officers
02	sub-major	0	Non-commissioned Armed Forces Officers
021	minor	02	Non-commissioned Armed Forces Officers
0210	unit	021	Non-commissioned Armed Forces Officers
03	sub-major	0	Armed Forces Occupations, Other Ranks
031	minor	03	Armed Forces Occupations, Other Ranks
0310	unit	031	Armed Forces Occupations, Other Ranks
1	major		Managers
11	sub-major	1	Chief Executives, Senior Officials and Legislators
111	minor	11	Legislators and Senior Officials
1111	unit	111	Legislators
1112	unit	111	Senior Government Officials
1113	unit	111	Traditional Chiefs and Heads of Villages
1114	unit	111	Senior Officials of Special-interest Organizations
112	minor	11	Managing Directors and Chief Executives
1120	unit	112	Managing Directors and Chief Executives
12	sub-major	1	Administrative and Commercial Managers
121	minor	12	Business Services and Administration Managers
1211	unit	121	Finance Managers
1212	unit	121	Human Resource Managers
1213	unit	121	Policy and Planning Managers
1219	unit	121	Business Services and Administration Managers Not Elsewhere Classified
122	minor	12	Sales, Marketing and Development Managers
1221	unit	122	Sales and Marketing Managers
1222	unit	122	Advertising and Public Relations Managers
1223	unit	122	Research and Development Managers
13	sub-major	1	Production and Specialized Services Managers
131	minor	13	Production Managers in Agriculture, Forestry and Fisheries
1311	unit	131	Agricultural and Forestry Production Managers
1312	unit	131	Aquaculture and Fisheries Production Managers
132	minor	13	Manufacturing, Mining, Construction and Distribution Managers
1321	unit	132	Manufacturing Managers
1322	unit	132	Mining Managers
1323	unit	132	Construction Managers
1324	unit	132	Supply, Distribution and Related Managers
133	minor	13	Information and Communications Technology Services Managers
1330	unit	133	Information and Communications Technology Services Managers
134	minor	13	Professional Services Managers
1341	unit	134	Child Care Services Managers
1342	unit	134	Health Services Managers
1343	unit	134	Aged Care Services Managers
1344	unit	134	Social Welfare Managers
1345	unit	134	Education Managers
1346	unit	134	Financial and Insurance Services Branch Managers
1349	unit	134	Professional Services Managers Not Elsewhere Classified
14	sub-major	1	Hospitality, Retail and Other Services Managers
141	minor	14	Hotel and Restaurant Managers
1411	unit	141	Hotel Managers
1412	unit	141	Restaurant Managers
142	minor	14	Retail and Wholesale Trade Managers
1420	unit	142	Retail and Wholesale Trade Managers
143	minor	14	Other Services Managers
1431	unit	143	Sports, Recreation and Cultural Centre Managers
1439	unit	143	Services Managers Not Elsewhere Classified
2	major		Professionals
21	sub-major	2	Science and Engineering Professionals
211	minor	21	Physical and Earth Science Professionals
2111	unit	211	Physicists and Astronomers
2112	unit	211	Meteorologists
2113	unit	211	Chemists
2114	unit	211	Geologists and Geophysicists
212	minor	21	Mathematicians, Actuaries and Statisticians
2120	unit	212	Mathematicians, Actuaries and Statisticians
213	minor	21	Life Science Professionals
2131	unit	213	Biologists, Botanists, Zoologists and Related Professionals
2132	unit	213	Farming, Forestry and Fisheries Advisers
2133	unit	213	Environmental Protection Professionals
214	minor	21	Engineering Professionals (excluding Electrotechnology)
2141	unit	214	Industrial and Production Engineers
2142	unit	214	Civil Engineers
2143	unit	214	Environmental Engineers
2144	unit	214	Mechanical Engineers
2145	unit	214	Chemical Engineers
2146	unit	214	Mining Engineers, Metallurgists and Related Professionals
2149	unit	214	Engineering Professionals Not Elsewhere Classified
215	minor	21	Electrotechnology Engineers
2151	unit	215	Electrical Engineers
2152	unit	215	Electronics Engineers
2153	unit	215	Telecommunications Engineers
216	minor	21	Architects, Planners, Surveyors and Designers
2161	unit	216	Building Architects
2162	unit	216	Landscape Architects
2163	unit	216	Product and Garment Designers
2164	unit	216	Town and Traffic Planners
2165	unit	216	Cartographers and Surveyors
2166	unit	216	Graphic and Multimedia Designers
22	sub-major	2	Health Professionals
221	minor	22	Medical Doctors
2211	unit	221	Generalist Medical Practitioners
2212	unit	221	Specialist Medical Practitioners
222	minor	22	Nursing and Midwifery Professionals
2221	unit	222	Nursing Professionals
2222	unit	222	Midwifery Professionals
223	minor	22	Traditional and Complementary Medicine Professionals
2230	unit	223	Traditional and Complementary Medicine Professionals
224	minor	22	Paramedical Practitioners
2240	unit	224	Paramedical Practitioners
225	minor	22	Veterinarians
2250	unit	225	Veterinarians
226	minor	22	Other Health Professionals
2261	unit	226	Dentists
2262	unit	226	Pharmacists
2263	unit	226	Environmental and Occupational Health and Hygiene Professionals
2264	unit	226	Physiotherapists
2265	unit	226	Dieticians and Nutritionists
2266	unit	226	Audiologists and Speech Therapists
2267	unit	226	Optometrists and Ophthalmic Opticians
2269	unit	226	Health Professionals Not Elsewhere Classified
23	sub-major	2	Teaching Professionals
231	minor	23	University and Higher Education Teachers
2310	unit	231	University and Higher Education Teachers
232	minor	23	Vocational Education Teachers
2320	unit	232	Vocational Education Teachers
233	minor	23	Secondary Education Teachers
2330	unit	233	Secondary Education Teachers
234	minor	23	Primary School and Early Childhood Teachers
2341	unit	234	Primary School Teachers
2342	unit	234	Early Childhood Educators
235	minor	23	Other Teaching Professionals
2351	unit	235	Education Methods Specialists
2352	unit	235	Special Needs Teachers
2353	unit	235	Other Language Teachers
2354	unit	235	Other Music Teachers
2355	unit	235	Other Arts Teachers
